,f1-score,precision,recall,accuracy,bal_accuracy
Campylobacter_lysin,0.0,0.0,0.0,0.9870200108166577,0.5
Campylobacter_endolysin,0.0,0.0,0.0,0.9990630855715178,0.5
Campylobacter_val,0.9090909090909091,1.0,0.8333333333333334,0.9965800273597811,0.9166666666666667
Caulobacter_lysin,0.0,0.0,0.0,0.9653751030502885,0.4909853249475891
Caulobacter_endolysin,0.0,0.0,0.0,0.9339233038348083,0.4683431952662722
Caulobacter_val,0.0,0.0,0.0,0.5940665701881331,0.2972483707458364
Cellulophaga_lysin,0.0,0.0,0.0,0.9976645435244161,0.4993623804463337
Cellulophaga_endolysin,0.0,0.0,0.0,0.989514348785872,0.49722684414864116
Cellulophaga_val,0.0,0.0,0.0,1.0,1.0
Citrobacter_lysin,0.0,0.0,0.0,0.994508009153318,0.499770009199632
Citrobacter_endolysin,0.0,0.0,0.0,0.9703079178885631,0.48711814501288186
Citrobacter_val,0.0,0.0,0.0,0.9939516129032258,0.5
Clostridioides_lysin,0.3181818181818182,0.1891891891891892,1.0,0.9871023215821152,0.9935316946959897
Clostridioides_endolysin,0.0,0.0,0.0,1.0,1.0
Clostridioides_val,0.0,0.0,0.0,1.0,1.0
Clostridium_lysin,0.8055555555555556,0.725,0.90625,0.9952909519004373,0.9512548877932676
Clostridium_endolysin,0.0625,0.043478260869565216,0.1111111111111111,0.9296325254104769,0.5291977280795173
Clostridium_val,0.0,0.0,0.0,0.9989528795811519,0.5
Corynebacterium_lysin,0.32,0.5714285714285714,0.2222222222222222,0.9916870415647921,0.6103711012443129
Corynebacterium_endolysin,0.0,0.0,0.0,0.9950099800399201,0.5
Corynebacterium_val,0.0,0.0,0.0,0.9803586678052946,0.4939759036144578
Cronobacter_lysin,0.0,0.0,0.0,0.992280701754386,0.5
Cronobacter_endolysin,0.0,0.0,0.0,0.992526158445441,0.5
Cronobacter_val,0.0,0.0,0.0,0.9918809201623816,0.5
Dickeya_lysin,0.0,0.0,0.0,0.9977506426735219,0.5
Dickeya_endolysin,0.0,0.0,0.0,0.9927849927849928,0.5
Dickeya_val,0.0,0.0,0.0,0.9969788519637462,0.49924357034795763
Escherichia_lysin,0.011065006915629323,0.06451612903225806,0.006051437216338881,0.8065476190476191,0.49347052915182676
Escherichia_endolysin,0.015151515151515152,0.08,0.008368200836820083,0.8472385428907168,0.4963235399262706
Escherichia_val,0.0,0.0,0.0,0.8285465622280244,0.4989517819706499
Edwardsiella_lysin,0.0,0.0,0.0,0.9972306840210468,0.4994452149791956
Edwardsiella_endolysin,0.0,0.0,0.0,0.8032159264931087,0.40206975852817173
Edwardsiella_val,0.0,0.0,0.0,0.9959040374488005,0.4985354422964265
Enterobacter_lysin,0.0,0.0,0.0,0.9889273356401385,0.5
Enterobacter_endolysin,0.0,0.0,0.0,0.9953970080552359,0.5
Enterobacter_val,0.0,0.0,0.0,0.994328922495274,0.5
Enterococcus_lysin,0.651685393258427,0.6236559139784946,0.6823529411764706,0.9781843771991555,0.8348289914442382
Enterococcus_endolysin,0.5050505050505051,0.373134328358209,0.78125,0.9737265415549597,0.8791683715220949
Enterococcus_val,0.0,0.0,0.0,0.9889196675900277,0.49860335195530725
Erwinia_lysin,0.24870466321243523,0.3333333333333333,0.19834710743801653,0.956768038163387,0.591750108002955
Erwinia_endolysin,0.48717948717948717,0.4523809523809524,0.5277777777777778,0.9781897491821155,0.7574928933382772
Erwinia_val,0.0,0.0,0.0,0.9789259007477906,0.4955264969029594
Flavobacterium_lysin,0.42857142857142855,0.375,0.5,0.9950217797137524,0.7484384759525297
Flavobacterium_endolysin,0.0,0.0,0.0,0.9915764139590855,0.4975845410628019
Flavobacterium_val,,,,,
Gordonia_lysin,0.33175355450236965,0.603448275862069,0.22875816993464052,0.9445536767597326,0.6095673694861488
Gordonia_endolysin,0.6347305389221557,1.0,0.4649122807017544,0.9635385534967125,0.7324561403508771
Gordonia_val,0.6915887850467289,0.74,0.6491228070175439,0.90625,0.8025275052036872
Haloarcula_lysin,,,,,
Haloarcula_endolysin,,,,,
Haloarcula_val,,,,,
Halorubrum_lysin,,,,,
Halorubrum_endolysin,,,,,
Halorubrum_val,,,,,
Klebsiella_lysin,0.06540084388185655,0.06638115631691649,0.06444906444906445,0.7833740831295843,0.47181998802946434
Klebsiella_endolysin,0.5171503957783641,0.784,0.3858267716535433,0.9233668341708543,0.6865872377480462
Klebsiella_val,0.014705882352941176,0.0425531914893617,0.008888888888888889,0.7410628019323672,0.4766666666666666
Lacticaseibacillus_lysin,0.0,0.0,0.0,0.999179991799918,0.4997949138638228
Lacticaseibacillus_endolysin,0.0,0.0,0.0,1.0,1.0
Lacticaseibacillus_val,0.0,0.0,0.0,0.9477351916376306,0.9477351916376306
Lactobacillus_lysin,0.8617886178861789,0.803030303030303,0.9298245614035088,0.9942353340115293,0.9626647011720172
Lactobacillus_endolysin,0.8059701492537313,0.9,0.7297297297297297,0.9924637681159421,0.8639762392724478
Lactobacillus_val,0.4,0.6666666666666666,0.2857142857142857,0.9814814814814815,0.6412798557908967
Lactococcus_lysin,0.28888888888888886,0.325,0.26,0.981037037037037,0.6259398496240601
Lactococcus_endolysin,0.0,0.0,0.0,0.9870349492671928,0.4997146118721461
Lactococcus_val,0.0,0.0,0.0,0.9438405797101449,0.47363636363636363
Listeria_lysin,0.125,0.25,0.08333333333333333,0.9947839046199702,0.5411052894211577
Listeria_endolysin,0.043478260869565216,0.1,0.027777777777777776,0.9828326180257511,0.5121081211801434
Listeria_val,0.0,0.0,0.0,0.9757316202712348,0.5
Microbacterium_lysin,0.9624060150375939,0.9696969696969697,0.9552238805970149,0.9965718203633871,0.9768932913585147
Microbacterium_endolysin,0.9855072463768116,0.9826589595375722,0.9883720930232558,0.9975562072336266,0.9933856196172842
