,f1-score,precision,recall,accuracy,bal_accuracy
Campylobacter_lysin,0.31802120141342755,0.19258202567760344,0.9121621621621622,0.9634792481392709,0.9380624894600446
Campylobacter_endolysin,0.45348837209302323,0.3277310924369748,0.7358490566037735,0.9786484951731971,0.8587280689387415
Campylobacter_val,0.18831168831168832,0.10545454545454545,0.8787878787878788,0.9409123138737887,0.9100942728860786
Caulobacter_lysin,0.5898305084745763,0.42857142857142855,0.9456521739130435,0.9920795967794724,0.9690065281814146
Caulobacter_endolysin,0.7821229050279329,0.6862745098039216,0.9090909090909091,0.9954740628989207,0.9526719182456886
Caulobacter_val,0.5827814569536424,0.41509433962264153,0.9777777777777777,0.9853862212943633,0.9816221284575715
Cellulophaga_lysin,0.6031746031746031,0.4318181818181818,1.0,0.9942276610482568,0.9971011131725418
Cellulophaga_endolysin,0.42105263157894735,0.26666666666666666,1.0,0.9870524767042668,0.9934956144673303
Cellulophaga_val,1.0,1.0,1.0,1.0,1.0
Citrobacter_lysin,0.09376854599406528,0.049842271293375394,0.79,0.9015981440907334,0.8461609806719419
Citrobacter_endolysin,0.08654970760233918,0.04625,0.6727272727272727,0.9158314473542407,0.7950041393991958
Citrobacter_val,0.38926174496644295,0.2636363636363636,0.7435897435897436,0.9806424165071261,0.8631076131076132
Clostridioides_lysin,0.6111111111111112,0.44,1.0,0.9965162574651626,0.9982533477501456
Clostridioides_endolysin,0.5765765765765766,0.4050632911392405,1.0,0.9936836446714151,0.9968281819408826
Clostridioides_val,0.5925925925925926,0.42105263157894735,1.0,0.9970564624029971,0.9985250737463127
Clostridium_lysin,0.7896103896103897,0.6551724137931034,0.9934640522875817,0.9929003418353931,0.9931783658737127
Clostridium_endolysin,0.8487084870848709,0.7615894039735099,0.9583333333333334,0.995119628615641,0.9769930161413678
Clostridium_val,0.9024390243902439,0.8222222222222222,1.0,0.9978649586335735,0.998921832884097
Corynebacterium_lysin,0.6711409395973155,0.5050505050505051,1.0,0.9960282078301046,0.9980060226255392
Corynebacterium_endolysin,0.38926174496644295,0.24166666666666667,1.0,0.9881448671182907,0.9940499542304171
Corynebacterium_val,0.5555555555555556,0.38461538461538464,1.0,0.9909374114981592,0.9954428937624609
Cronobacter_lysin,0.17964071856287425,0.10013351134846461,0.872093023255814,0.9538813707668484,0.9132253563492451
Cronobacter_endolysin,0.16065573770491803,0.09023941068139964,0.7313432835820896,0.9520104977036273,0.8423741507516183
Cronobacter_val,0.1642512077294686,0.09340659340659341,0.68,0.9650787242632216,0.823262325015216
Dickeya_lysin,0.2009132420091324,0.11253196930946291,0.9361702127659575,0.9520252210266603,0.9441491196270981
Dickeya_endolysin,0.11027027027027027,0.05868814729574223,0.9107142857142857,0.9225120045193484,0.916644412142519
Dickeya_val,0.2198581560283688,0.12449799196787148,0.9393939393939394,0.9496452277409018,0.9445585933132059
