accession,true_host,predicted_set,set_size,correct
GU169904,Staphylococcus,"['Campylobacter', 'Caulobacter', 'Cellulophaga', 'Citrobacter', 'Cronobacter', 'Dickeya', 'Edwardsiella', 'Enterobacter', 'Erwinia', 'Escherichia', 'Flavobacterium', 'Haloarcula', 'Halorubrum', 'Klebsiella', 'Microcystis', 'Pantoea', 'Pectobacterium', 'Pelagibacter', 'Prochlorococcus', 'Proteus', 'Providencia', 'Pseudoalteromonas', 'Pseudomonas', 'Ralstonia', 'Rhizobium', 'Rhodobacter', 'Roseobacter', 'Salmonella', 'Serratia', 'Shewanella', 'Shigella', 'Sinorhizobium', 'Stenotrophomonas', 'Sulfolobus', 'Synechococcus', 'Vibrio', 'Xanthomonas', 'Yersinia']",38,False
MT350293,Enterococcus,"['Campylobacter', 'Caulobacter', 'Cellulophaga', 'Citrobacter', 'Cronobacter', 'Dickeya', 'Edwardsiella', 'Enterobacter', 'Erwinia', 'Escherichia', 'Flavobacterium', 'Haloarcula', 'Halorubrum', 'Klebsiella', 'Microcystis', 'Pantoea', 'Pectobacterium', 'Pelagibacter', 'Prochlorococcus', 'Proteus', 'Providencia', 'Pseudoalteromonas', 'Pseudomonas', 'Ralstonia', 'Rhizobium', 'Rhodobacter', 'Roseobacter', 'Salmonella', 'Serratia', 'Shewanella', 'Shigella', 'Sinorhizobium', 'Stenotrophomonas', 'Sulfolobus', 'Synechococcus', 'Vibrio', 'Xanthomonas', 'Yersinia']",38,False
MT362618,Microcystis,"['Clostridioides', 'Clostridium', 'Corynebacterium', 'Enterococcus', 'Gordonia', 'Lacticaseibacillus', 'Lactobacillus', 'Lactococcus', 'Listeria', 'Microbacterium', 'Mycobacterium', 'Paenibacillus', 'Propionibacterium', 'Staphylococcus', 'Streptococcus', 'Streptomyces']",16,False
